Year,Procedure,Cost,Success_Rate,Volume,ROI,Training_Hours,Equipment_Cost,Follow_Up_Rate
2023,Maxillofacial,2500,95,150,3.5,120,15000,92
2023,General_Surgery,1800,92,200,4.2,100,12000,90
2023,Orthopedic,2200,88,180,3.8,150,18000,85
2023,Reconstructive_Plastic,3000,90,120,3.2,200,25000,88
2023,Womens_Health,1500,94,250,4.5,80,10000,95
2023,Ophthalmic,800,96,300,5.0,60,8000,98
2023,Dental,500,98,400,5.5,40,5000,99
2022,Maxillofacial,2300,94,140,3.3,120,15000,91
2022,General_Surgery,1700,91,190,4.0,100,12000,89
2022,Orthopedic,2100,87,170,3.6,150,18000,84
2022,Reconstructive_Plastic,2900,89,110,3.0,200,25000,87
2022,Womens_Health,1400,93,240,4.3,80,10000,94
2022,Ophthalmic,750,95,280,4.8,60,8000,97
2022,Dental,450,97,380,5.3,40,5000,98
2021,Maxillofacial,2200,93,130,3.1,120,15000,90
2021,General_Surgery,1600,90,180,3.8,100,12000,88
2021,Orthopedic,2000,86,160,3.4,150,18000,83
2021,Reconstructive_Plastic,2800,88,100,2.8,200,25000,86
2021,Womens_Health,1300,92,230,4.1,80,10000,93
2021,Ophthalmic,700,94,260,4.6,60,8000,96
2021,Dental,400,96,360,5.1,40,5000,97 